epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
75,6292.59,1.29144,2.46634,2.04764,1.88828,0,0.86937,0.77801,0.84581,0.63516,0.827,0.73182,0.76744,0.51005,1.21872,1.77531,1.63322,1.6221,0,0.00042674,0.00042674,0.00042674
76,6376.3,1.31511,2.50327,2.06178,1.91297,0,0.85309,0.76549,0.83997,0.63391,0.82383,0.72156,0.77015,0.50823,1.21264,1.80092,1.70241,1.60324,0,0.00042575,0.00042575,0.00042575
77,6460.82,1.31291,2.44014,2.01348,1.89555,0,0.89999,0.75102,0.84936,0.63822,0.8589,0.71806,0.77854,0.51512,1.22587,1.79102,1.68005,1.62233,0,0.00042476,0.00042476,0.00042476
78,6547.51,1.29432,2.45416,2.02264,1.88756,0,0.87878,0.79004,0.85125,0.64232,0.8361,0.74848,0.77305,0.5036,1.21413,1.85167,1.6311,1.61669,0,0.00042377,0.00042377,0.00042377
79,6634.85,1.27437,2.34029,2.01316,1.86763,0,0.87606,0.77266,0.84758,0.64045,0.83757,0.73777,0.78239,0.51838,1.2207,1.77722,1.60814,1.6157,0,0.00042278,0.00042278,0.00042278
80,6722.07,1.27183,2.36615,1.9615,1.87182,0,0.86852,0.78434,0.85321,0.63598,0.825,0.73237,0.76709,0.52145,1.21929,1.8206,1.63725,1.61994,0,0.00042179,0.00042179,0.00042179
81,6808.94,1.29578,2.4104,1.99999,1.88694,0,0.86106,0.78787,0.85485,0.64387,0.80841,0.73964,0.77333,0.52497,1.20655,1.7854,1.60312,1.60732,0,0.0004208,0.0004208,0.0004208
82,6896.29,1.2652,2.39292,1.95236,1.85909,0,0.86683,0.77832,0.84198,0.63639,0.8343,0.73399,0.77708,0.52092,1.19987,1.79341,1.60751,1.60862,0,0.00041981,0.00041981,0.00041981
83,6981.52,1.26564,2.40917,1.95436,1.84657,0,0.88998,0.76299,0.85215,0.63646,0.85582,0.72197,0.78455,0.5195,1.23027,1.83703,1.58548,1.63789,0,0.00041882,0.00041882,0.00041882
84,7068.52,1.25857,2.33014,1.93838,1.85333,0,0.87678,0.79217,0.85689,0.65094,0.84508,0.73743,0.79191,0.52856,1.19261,1.7465,1.53802,1.61229,0,0.00041783,0.00041783,0.00041783
85,7153.76,1.26273,2.37976,1.95109,1.87412,0,0.88321,0.79515,0.86108,0.6542,0.83549,0.7525,0.78124,0.52659,1.17714,1.78834,1.51338,1.59932,0,0.00041684,0.00041684,0.00041684
86,7240.53,1.25713,2.35781,1.9215,1.85333,0,0.85481,0.80288,0.85965,0.65745,0.82598,0.75085,0.79013,0.5326,1.16532,1.72899,1.56665,1.57564,0,0.00041585,0.00041585,0.00041585
87,7328.21,1.22981,2.36847,1.88252,1.82863,0,0.90133,0.77204,0.85801,0.65118,0.86421,0.73687,0.79017,0.52405,1.19094,1.76787,1.57459,1.61023,0,0.00041486,0.00041486,0.00041486
88,7414.25,1.2552,2.36595,1.92412,1.86356,0,0.86593,0.80608,0.8658,0.66352,0.82494,0.74963,0.78885,0.5368,1.16495,1.74788,1.54829,1.59788,0,0.00041387,0.00041387,0.00041387
89,7502,1.24369,2.35984,1.92392,1.86337,0,0.84285,0.79252,0.84838,0.62937,0.8158,0.73808,0.78462,0.51921,1.21222,1.74929,1.67202,1.61879,0,0.00041288,0.00041288,0.00041288
90,7589.62,1.23758,2.33559,1.89965,1.84556,0,0.87818,0.77931,0.85691,0.6403,0.85518,0.72758,0.78891,0.52833,1.19642,1.8108,1.58931,1.63124,0,0.00041189,0.00041189,0.00041189
91,7676.38,1.24653,2.31997,1.90189,1.84583,0,0.87203,0.78275,0.84598,0.64018,0.83263,0.74353,0.7843,0.52737,1.18297,1.77447,1.60687,1.61071,0,0.0004109,0.0004109,0.0004109
92,7762.87,1.26199,2.39601,1.95117,1.85506,0,0.89142,0.78589,0.85719,0.64874,0.87293,0.73125,0.78684,0.53198,1.17123,1.77518,1.54129,1.57346,0,0.00040991,0.00040991,0.00040991
93,7849.24,1.23606,2.29883,1.92106,1.84145,0,0.89097,0.77114,0.85871,0.65754,0.85339,0.72974,0.78435,0.5296,1.15534,1.75583,1.54846,1.56844,0,0.00040892,0.00040892,0.00040892
94,7937.67,1.22657,2.30259,1.84566,1.81589,0,0.89016,0.76284,0.86687,0.65726,0.86553,0.72725,0.79195,0.53439,1.14654,1.71049,1.5421,1.57044,0,0.00040793,0.00040793,0.00040793
95,8025.36,1.25885,2.38443,1.9228,1.86039,0,0.87813,0.79176,0.85948,0.65809,0.82452,0.73968,0.77846,0.52968,1.1412,1.72068,1.52702,1.5809,0,0.00040694,0.00040694,0.00040694
